2020-07-13T05:03:45+00:00 has web product json: {"sku":"Yamaha FG820-1"}
2020-07-13T08:39:05+00:00 file: testwordpress.php, user: 
2020-07-13T08:39:05+00:00 post json: 
2020-07-13T08:39:05+00:00 set auto commit to off
2020-07-13T08:39:51+00:00 file: testwordpress.php, user: 
2020-07-13T08:39:51+00:00 post json: 
2020-07-13T08:39:51+00:00 set auto commit to off
2020-07-13T08:39:51+00:00 query sql: select * from CategoryMappingWeb, modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14814' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14571' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14571' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14571' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14562' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14562' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14562' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '13978' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '13978' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '13978' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14590' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14590' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14590' and WebCategoryName = 'Array', modified user: 
