ShopeeProductID,Sku,ItemID,ItemSku,VariationID,VariationSku,ModifiedUser,ModifiedDate
2243,Daddario-EJ19,2832957397,Daddario-EJ19,0,,bot,28/5/2020 14:16
2244,Daddario-EXL116,2887646718,Daddario-EXL116,0,,bot,28/5/2020 14:16
2245,Daddario-EXL148,2887619508,Daddario-EXL148,0,,bot,28/5/2020 14:16
2246,Daddario-EZ910,2880418736,Daddario-EZ910,0,,bot,28/5/2020 14:16
2247,Daddario-EPS510,2818260816,Daddario-EPS510,0,,bot,28/5/2020 14:16
2248,Daddario-NYXL1152,2841142701,Daddario-NYXL1152,0,,bot,28/5/2020 14:16
2249,Daddario-XTAPB1047-12,7819378379,Daddario-XTAPB1047-12,0,,bot,28/5/2020 14:16
2250,Daddario-XTABR1047,4019377175,Daddario-XTABR1047,0,,bot,28/5/2020 14:16
2251,Daddario-XTE1052,7120355045,Daddario-XTE1052,0,,bot,28/5/2020 14:16
2252,Daddario-XTABR1047-12,4919377635,Daddario-XTABR1047-12,0,,bot,28/5/2020 14:16
2253,Daddario-XTE1149,4720355287,Daddario-XTE1149,0,,bot,28/5/2020 14:16
2254,Daddario-XTAPB1047,6019377872,Daddario-XTAPB1047,0,,bot,28/5/2020 14:16
2255,Daddario-XTABR1253,6119377437,Daddario-XTABR1253,0,,bot,28/5/2020 14:16
2256,Daddario-XTB45130,5419378514,Daddario-XTB45130,0,,bot,28/5/2020 14:16
2257,Daddario-XTC46,6719378798,Daddario-XTC46,0,,bot,28/5/2020 14:16
2258,Daddario-XTC45,3519474567,Daddario-XTC45,0,,bot,28/5/2020 14:16
2259,Daddario-XTABR1152,7119377206,Daddario-XTABR1152,0,,bot,28/5/2020 14:16
2260,DR-Strings-UMCSC-DATDR-3UMCSC,6617073239,DR-Strings-UMCSC-DATDR-3UMCSC,0,,bot,28/5/2020 14:16
2261,DR-Strings-BA5M-10 5-DATDR-3BA510,7217073167,DR-Strings-BA5M-10 5-DATDR-3BA510,0,,bot,28/5/2020 14:16
2262,DR-Strings-BA-10-DATDR-3BA10,5817073086,DR-Strings-BA-10-DATDR-3BA10,0,,bot,28/5/2020 14:16
2263,DR-Strings-NWB-45-DATDR-1NWB45,4617072739,DR-Strings-NWB-45-DATDR-1NWB45,0,,bot,28/5/2020 14:16
